Provincia;Anio;Especie;Casos
Morona Santiago;2020;B519;509
Orellana;2020;B519;377
Cotopaxi;2020;B519;365
Pastaza;2020;B519;314
Esmeraldas;2020;B519;4
Sucumbios;2020;B519;46
El Oro;2020;B519;42
Santa Elena;2020;B519;16
Manabí;2020;B519;8
Guayas;2020;B519;6
Los Rios;2020;B519;7
Napo;2020;B519;5
Santo Domingo de los Tsachilas;2020;B519;4
Bolívar;2020;B519;2
Carchi;2020;B519;0
Imbabura;2020;B519;1
Pichincha;2020;B519;2
Azuay;2020;B519;1
Tungurahua;2020;B519;1
Galapagos;2020;B519;0
Chimborazo;2020;B519;0
Zamora Chinchipe;2020;B519;0
Loja;2020;B519;0
Cañar;2020;B519;0
Zona No delimitada;2020;B519;0
Morona Santiago;2020;B500;26
Orellana;2020;B500;0
Cotopaxi;2020;B500;1
Pastaza;2020;B500;10
Esmeraldas;2020;B500;193
Sucumbios;2020;B500;0
El Oro;2020;B500;1
Santa Elena;2020;B500;0
Manabí;2020;B500;0
Guayas;2020;B500;1
Los Rios;2020;B500;0
Napo;2020;B500;0
Santo Domingo de los Tsachilas;2020;B500;0
Bolívar;2020;B500;0
Carchi;2020;B500;2
Imbabura;2020;B500;1
Pichincha;2020;B500;0
Azuay;2020;B500;0
Tungurahua;2020;B500;0
Galapagos;2020;B500;0
Chimborazo;2020;B500;0
Zamora Chinchipe;2020;B500;0
Loja;2020;B500;0
Cañar;2020;B500;0
Zona No delimitada;2020;B500;0
Morona Santiago;2020;B500-B509;0
Orellana;2020;B500-B509;0
Cotopaxi;2020;B500-B509;0
Pastaza;2020;B500-B509;0
Esmeraldas;2020;B500-B509;1
Sucumbios;2020;B500-B509;0
El Oro;2020;B500-B509;0
Santa Elena;2020;B500-B509;0
Manabí;2020;B500-B509;0
Guayas;2020;B500-B509;0
Los Rios;2020;B500-B509;0
Napo;2020;B500-B509;0
Santo Domingo de los Tsachilas;2020;B500-B509;0
Bolívar;2020;B500-B509;0
Carchi;2020;B500-B509;0
Imbabura;2020;B500-B509;0
Pichincha;2020;B500-B509;0
Azuay;2020;B500-B509;0
Tungurahua;2020;B500-B509;0
Galapagos;2020;B500-B509;0
Chimborazo;2020;B500-B509;0
Zamora Chinchipe;2020;B500-B509;0
Loja;2020;B500-B509;0
Cañar;2020;B500-B509;0
Zona No delimitada;2020;B500-B509;0
Morona Santiago;2021;B519;694
Orellana;2021;B519;588
Cotopaxi;2021;B519;150
Pastaza;2021;B519;372
Esmeraldas;2021;B519;21
Sucumbios;2021;B519;82
El Oro;2021;B519;0
Santa Elena;2021;B519;0
Manabí;2021;B519;8
Guayas;2021;B519;6
Los Rios;2021;B519;30
Napo;2021;B519;15
Santo Domingo de los Tsachilas;2021;B519;7
Bolívar;2021;B519;0
Carchi;2021;B519;1
Imbabura;2021;B519;2
Pichincha;2021;B519;6
Azuay;2021;B519;0
Tungurahua;2021;B519;0
Galapagos;2021;B519;0
Chimborazo;2021;B519;0
Zamora Chinchipe;2021;B519;0
Loja;2021;B519;0
Cañar;2021;B519;0
Zona No delimitada;2021;B519;0
Morona Santiago;2021;B500;51
Orellana;2021;B500;0
Cotopaxi;2021;B500;0
Pastaza;2021;B500;17
Esmeraldas;2021;B500;169
Sucumbios;2021;B500;1
El Oro;2021;B500;0
Santa Elena;2021;B500;0
Manabí;2021;B500;0
Guayas;2021;B500;0
Los Rios;2021;B500;0
Napo;2021;B500;0
Santo Domingo de los Tsachilas;2021;B500;1
Bolívar;2021;B500;0
Carchi;2021;B500;0
Imbabura;2021;B500;0
Pichincha;2021;B500;2
Azuay;2021;B500;0
Tungurahua;2021;B500;0
Galapagos;2021;B500;0
Chimborazo;2021;B500;0
Zamora Chinchipe;2021;B500;0
Loja;2021;B500;0
Cañar;2021;B500;0
Zona No delimitada;2021;B500;0
Morona Santiago;2021;B500-B509;6
Orellana;2021;B500-B509;0
Cotopaxi;2021;B500-B509;0
Pastaza;2021;B500-B509;0
Esmeraldas;2021;B500-B509;9
Sucumbios;2021;B500-B509;0
El Oro;2021;B500-B509;0
Santa Elena;2021;B500-B509;0
Manabí;2021;B500-B509;0
Guayas;2021;B500-B509;0
Los Rios;2021;B500-B509;0
Napo;2021;B500-B509;0
Santo Domingo de los Tsachilas;2021;B500-B509;0
Bolívar;2021;B500-B509;0
Carchi;2021;B500-B509;0
Imbabura;2021;B500-B509;0
Pichincha;2021;B500-B509;1
Azuay;2021;B500-B509;0
Tungurahua;2021;B500-B509;0
Galapagos;2021;B500-B509;0
Chimborazo;2021;B500-B509;0
Zamora Chinchipe;2021;B500-B509;0
Loja;2021;B500-B509;0
Cañar;2021;B500-B509;0
Zona No delimitada;2021;B500-B509;0
Morona Santiago;2022;B519;291
Orellana;2022;B519;313
Cotopaxi;2022;B519;60
Pastaza;2022;B519;225
Esmeraldas;2022;B519;15
Sucumbios;2022;B519;101
El Oro;2022;B519;0
Santa Elena;2022;B519;2
Manabí;2022;B519;2
Guayas;2022;B519;3
Los Rios;2022;B519;1
Napo;2022;B519;6
Santo Domingo de los Tsachilas;2022;B519;1
Bolívar;2022;B519;0
Carchi;2022;B519;1
Imbabura;2022;B519;2
Pichincha;2022;B519;6
Azuay;2022;B519;0
Tungurahua;2022;B519;0
Galapagos;2022;B519;0
Chimborazo;2022;B519;0
Zamora Chinchipe;2022;B519;0
Loja;2022;B519;0
Cañar;2022;B519;0
Zona No delimitada;2022;B519;0
Morona Santiago;2022;B500;62
Orellana;2022;B500;0
Cotopaxi;2022;B500;0
Pastaza;2022;B500;4
Esmeraldas;2022;B500;109
Sucumbios;2022;B500;0
El Oro;2022;B500;0
Santa Elena;2022;B500;0
Manabí;2022;B500;2
Guayas;2022;B500;0
Los Rios;2022;B500;0
Napo;2022;B500;0
Santo Domingo de los Tsachilas;2022;B500;1
Bolívar;2022;B500;0
Carchi;2022;B500;0
Imbabura;2022;B500;0
Pichincha;2022;B500;0
Azuay;2022;B500;0
Tungurahua;2022;B500;0
Galapagos;2022;B500;1
Chimborazo;2022;B500;0
Zamora Chinchipe;2022;B500;0
Loja;2022;B500;0
Cañar;2022;B500;0
Zona No delimitada;2022;B500;0
Morona Santiago;2022;B500-B509;0
Orellana;2022;B500-B509;0
Cotopaxi;2022;B500-B509;0
Pastaza;2022;B500-B509;0
Esmeraldas;2022;B500-B509;6
Sucumbios;2022;B500-B509;0
El Oro;2022;B500-B509;0
Santa Elena;2022;B500-B509;0
Manabí;2022;B500-B509;0
Guayas;2022;B500-B509;0
Los Rios;2022;B500-B509;0
Napo;2022;B500-B509;0
Santo Domingo de los Tsachilas;2022;B500-B509;0
Bolívar;2022;B500-B509;0
Carchi;2022;B500-B509;0
Imbabura;2022;B500-B509;0
Pichincha;2022;B500-B509;0
Azuay;2022;B500-B509;0
Tungurahua;2022;B500-B509;0
Galapagos;2022;B500-B509;0
Chimborazo;2022;B500-B509;0
Zamora Chinchipe;2022;B500-B509;0
Loja;2022;B500-B509;0
Cañar;2022;B500-B509;0
Zona No delimitada;2022;B500-B509;0
Morona Santiago;2023;B519;170
Orellana;2023;B519;234
Cotopaxi;2023;B519;0
Pastaza;2023;B519;177
Esmeraldas;2023;B519;12
Sucumbios;2023;B519;13
El Oro;2023;B519;2
Santa Elena;2023;B519;1
Manabí;2023;B519;2
Guayas;2023;B519;6
Los Rios;2023;B519;1
Napo;2023;B519;2
Santo Domingo de los Tsachilas;2023;B519;1
Bolívar;2023;B519;3
Carchi;2023;B519;6
Imbabura;2023;B519;2
Pichincha;2023;B519;9
Azuay;2023;B519;0
Tungurahua;2023;B519;0
Galapagos;2023;B519;0
Chimborazo;2023;B519;1
Zamora Chinchipe;2023;B519;0
Loja;2023;B519;0
Cañar;2023;B519;0
Zona No delimitada;2023;B519;5
Morona Santiago;2023;B500;6
Orellana;2023;B500;2
Cotopaxi;2023;B500;0
Pastaza;2023;B500;3
Esmeraldas;2023;B500;22
Sucumbios;2023;B500;1
El Oro;2023;B500;0
Santa Elena;2023;B500;0
Manabí;2023;B500;2
Guayas;2023;B500;1
Los Rios;2023;B500;0
Napo;2023;B500;0
Santo Domingo de los Tsachilas;2023;B500;0
Bolívar;2023;B500;0
Carchi;2023;B500;0
Imbabura;2023;B500;0
Pichincha;2023;B500;1
Azuay;2023;B500;2
Tungurahua;2023;B500;1
Galapagos;2023;B500;0
Chimborazo;2023;B500;0
Zamora Chinchipe;2023;B500;0
Loja;2023;B500;0
Cañar;2023;B500;0
Zona No delimitada;2023;B500;0
Morona Santiago;2023;B500-B509;0
Orellana;2023;B500-B509;0
Cotopaxi;2023;B500-B509;0
Pastaza;2023;B500-B509;0
Esmeraldas;2023;B500-B509;0
Sucumbios;2023;B500-B509;0
El Oro;2023;B500-B509;1
Santa Elena;2023;B500-B509;0
Manabí;2023;B500-B509;0
Guayas;2023;B500-B509;0
Los Rios;2023;B500-B509;0
Napo;2023;B500-B509;0
Santo Domingo de los Tsachilas;2023;B500-B509;0
Bolívar;2023;B500-B509;0
Carchi;2023;B500-B509;0
Imbabura;2023;B500-B509;0
Pichincha;2023;B500-B509;0
Azuay;2023;B500-B509;0
Tungurahua;2023;B500-B509;0
Galapagos;2023;B500-B509;0
Chimborazo;2023;B500-B509;1
Zamora Chinchipe;2023;B500-B509;0
Loja;2023;B500-B509;0
Cañar;2023;B500-B509;0
Zona No delimitada;2023;B500-B509;0
Morona Santiago;2024;B519;111
Orellana;2024;B519;50
Cotopaxi;2024;B519;1
Pastaza;2024;B519;111
Esmeraldas;2024;B519;8
Sucumbios;2024;B519;9
El Oro;2024;B519;4
Santa Elena;2024;B519;0
Manabí;2024;B519;1
Guayas;2024;B519;5
Los Rios;2024;B519;1
Napo;2024;B519;0
Santo Domingo de los Tsachilas;2024;B519;0
Bolívar;2024;B519;0
Carchi;2024;B519;0
Imbabura;2024;B519;1
Pichincha;2024;B519;1
Azuay;2024;B519;0
Tungurahua;2024;B519;3
Galapagos;2024;B519;0
Chimborazo;2024;B519;0
Zamora Chinchipe;2024;B519;2
Loja;2024;B519;0
Cañar;2024;B519;1
Zona No delimitada;2024;B519;1
Morona Santiago;2024;B500;1
Orellana;2024;B500;1
Cotopaxi;2024;B500;0
Pastaza;2024;B500;3
Esmeraldas;2024;B500;100
Sucumbios;2024;B500;2
El Oro;2024;B500;0
Santa Elena;2024;B500;1
Manabí;2024;B500;0
Guayas;2024;B500;5
Los Rios;2024;B500;1
Napo;2024;B500;0
Santo Domingo de los Tsachilas;2024;B500;0
Bolívar;2024;B500;1
Carchi;2024;B500;1
Imbabura;2024;B500;2
Pichincha;2024;B500;3
Azuay;2024;B500;0
Tungurahua;2024;B500;1
Galapagos;2024;B500;0
Chimborazo;2024;B500;0
Zamora Chinchipe;2024;B500;1
Loja;2024;B500;0
Cañar;2024;B500;0
Zona No delimitada;2024;B500;0
Morona Santiago;2024;B500-B509;1
Orellana;2024;B500-B509;0
Cotopaxi;2024;B500-B509;0
Pastaza;2024;B500-B509;0
Esmeraldas;2024;B500-B509;0
Sucumbios;2024;B500-B509;0
El Oro;2024;B500-B509;0
Santa Elena;2024;B500-B509;0
Manabí;2024;B500-B509;0
Guayas;2024;B500-B509;0
Los Rios;2024;B500-B509;0
Napo;2024;B500-B509;0
Santo Domingo de los Tsachilas;2024;B500-B509;1
Bolívar;2024;B500-B509;0
Carchi;2024;B500-B509;0
Imbabura;2024;B500-B509;0
Pichincha;2024;B500-B509;0
Azuay;2024;B500-B509;0
Tungurahua;2024;B500-B509;1
Galapagos;2024;B500-B509;0
Chimborazo;2024;B500-B509;0
Zamora Chinchipe;2024;B500-B509;0
Loja;2024;B500-B509;1
Cañar;2024;B500-B509;0
Zona No delimitada;2024;B500-B509;0
Morona Santiago;2025;B519;214
Orellana;2025;B519;173
Cotopaxi;2025;B519;2
Pastaza;2025;B519;154
Esmeraldas;2025;B519;14
Sucumbios;2025;B519;4
El Oro;2025;B519;3
Santa Elena;2025;B519;0
Manabí;2025;B519;1
Guayas;2025;B519;0
Los Rios;2025;B519;0
Napo;2025;B519;0
Santo Domingo de los Tsachilas;2025;B519;0
Bolívar;2025;B519;0
Carchi;2025;B519;0
Imbabura;2025;B519;0
Pichincha;2025;B519;1
Azuay;2025;B519;2
Tungurahua;2025;B519;0
Galapagos;2025;B519;0
Chimborazo;2025;B519;1
Zamora Chinchipe;2025;B519;1
Loja;2025;B519;0
Cañar;2025;B519;0
Zona No delimitada;2025;B519;1
Morona Santiago;2025;B500;0
Orellana;2025;B500;0
Cotopaxi;2025;B500;0
Pastaza;2025;B500;64
Esmeraldas;2025;B500;12
Sucumbios;2025;B500;0
El Oro;2025;B500;0
Santa Elena;2025;B500;0
Manabí;2025;B500;0
Guayas;2025;B500;1
Los Rios;2025;B500;1
Napo;2025;B500;0
Santo Domingo de los Tsachilas;2025;B500;1
Bolívar;2025;B500;0
Carchi;2025;B500;0
Imbabura;2025;B500;0
Pichincha;2025;B500;0
Azuay;2025;B500;0
Tungurahua;2025;B500;0
Galapagos;2025;B500;0
Chimborazo;2025;B500;0
Zamora Chinchipe;2025;B500;0
Loja;2025;B500;0
Cañar;2025;B500;0
Zona No delimitada;2025;B500;0
Morona Santiago;2025;B500-B509;0
Orellana;2025;B500-B509;0
Cotopaxi;2025;B500-B509;0
Pastaza;2025;B500-B509;1
Esmeraldas;2025;B500-B509;0
Sucumbios;2025;B500-B509;0
El Oro;2025;B500-B509;0
Santa Elena;2025;B500-B509;0
Manabí;2025;B500-B509;0
Guayas;2025;B500-B509;1
Los Rios;2025;B500-B509;0
Napo;2025;B500-B509;0
Santo Domingo de los Tsachilas;2025;B500-B509;0
Bolívar;2025;B500-B509;0
Carchi;2025;B500-B509;0
Imbabura;2025;B500-B509;0
Pichincha;2025;B500-B509;0
Azuay;2025;B500-B509;0
Tungurahua;2025;B500-B509;0
Galapagos;2025;B500-B509;0
Chimborazo;2025;B500-B509;0
Zamora Chinchipe;2025;B500-B509;0
Loja;2025;B500-B509;0
Cañar;2025;B500-B509;0
Zona No delimitada;2025;B500-B509;0
